,text,stars
3560831,"**Check out Dollar Mountain!** (located in the back of the store) 

I happened upon this store while on a ""book quest"" during my stay in Phoenix in July 2013. I am a huge supporter of independently owned book stores, so I was really excited to find this gem. Though it's pretty small in comparison to some of the other indie shops I've been too, this book store has a pretty awesome selection of books. 

All the sections and shelves are well organized so books are easy to find. At the register, there is a glass showcase that holds some first editions, and even some autographed copies as well. 

The owner was very friendly, and extremely helpful. They were running some awesome specials as well. There are several tables at the front of the store where any of the books you find or select are only $2 each. I got several hardcover books (used) in EXCELLENT condition for $2 each. There are a few new books scattered throughout as well, but this store specializes in USED. IF you go to the back of the store, you'll find ""Dollar Mountain"", which is a HUGE stack of books that are all $1. Awesome deal!

So, when I was in this store, I asked the owner: ""What happens to the hundreds of books you get in that don't sell? Do you toss them? Recycle them?"" His reply: ""Some I do send off to be recycled into new paper for new books, but I primarily donate them to the troops overseas in Afghanistan and Iraq.""--That answer alone inspired me to make a hefty purchase. We need more stores and people like this to stay in business. These businesses are great for the community. 

I'd highly recommend this store should you ever be in the Phoenix area!",4
2359989,"This is one of my favorite restaurants.  I have been there numerous times since they've opened and the food has always been delicious and the service has been outstanding.  The bruschetta board, Tomasos meatballs, house made pasta and sauce are my go to items.  The cocktails are fabulous as well.  Most recently I sat outside at the bar with my friend and Nicole the bartender was very friendly and knowledgeable about the menu.  I will be back for sure!",5
826059,"I discovered Las Vegas ATV Tours via Groupon and read some of the mixed (but mostly good) review via Trip Advisor and Yelp.  Overall, it seemed like everyone was super happy with their tour.

Communication is a little spotty at times, but mainly because it's a mom and pop kind of business and everyone works in that joint.  After a tour is when these guys respond to your emails and phone calls.  

We signed up for the One Hour Tour.  John picked us up from The Four Seasons Hotel along with other folks from different hotels on the strip and we headed towards the Motor Speedway where they dropped us off next to the Airforce base.  It's about a 30 mins drive. To begin with, I have never driven an ATV before, but I owned a scooter for seven years and have driven a motorcycle, so I am well aware of how to dress on a moving vehicle.  However, a few of the gals did not.  

Girls - be smart, not stupid.  Wear pants and choose the morning session in the summer.  It's simply too hot to do this tour in the middle of the afternoon.  You'll die.  Second, wear moisture wicking clothes as you will sweat and pour water all over your body.  Bring a light long sleeved shirt.  The sun is strong and no matter how much sunscreen you apply, you'll be thankful for the coverage when the wind picks up and sand is blowing onto your bare arms.  Second, wear old tennis shoes. Not TOMS, not Keds, not sandals.  Again, don't be an idiot, you are in the desert on a 4-wheeler.  The pedals have metal prongs and you need protection from the heat of the engine.

Last, bring a small backpack filled with water, extra sunscreen, ibuprofen, kleenex (i.e. toilet paper), chapstick and a bandana.  While the group gives you a water during the half time break, they only bring enough water for one bottle per person.  It's hot outside and the heat definitely got to me.  I wish I would have brought extra water and a bandana to cover my mouth from all the dirt.

Now, onto the tour.  I thought it was amazing.  The guys are tatted up, smoke and good ole' boys - they know what they are doing.  They did a great job describing what we would be doing and the hand signals to follow.  They also had extra riders to round up the caboose and let the girls ride tandem in the event they were too scared to drive an ATV.  They warm you up with an easy start filled with small bumps and hills.  As you become more comfortable with the ATV,  you  have the option to be more aggressive as you trust the machine over time.  They definitely make it clear to do whatever you feel most comfortable with and they never make you feel stupid for taking it slow and careful.  They know the area like the back of their dry, tan hands and do their job well.

Honestly, a one hour would have sufficed for me, as it's hot and physically exhausting, but we winded up riding two hours.  I'm not complaining, it was great fun, but for a retreat recreation I am planning in September, I would recommend to my older clients to perhaps consider just an hour as it is very physically demanding.  Also, your gas is in what looks like a gear shift on your right handle bar, it's a lot of strain to your right hand - it doesn't work like a motorcycle.  So be prepared for some terrible texting, post tour.

I winded up flying over a ""Witch's Eye"" and into a dune, causing me to almost flip over the handlebars.  I didn't, but winded up jamming my right thigh into the throttle and right handlebar.  It left a nasty bruise, cut and whiplash, but it was all worth it.  The staff was great - they made sure I was OK, gave me water and asked several times if I wanted to stop and go back.  I assured them I was OK, and while I definitely felt it the next day...and today...I am still so happy I did the tour.  It was great to get out into the desert, out of the strip, see the jets fly above you and meet some new people. I definitely would recommend this group and Casey as your guide.  To make this trip more enjoyable - be prepared, not a dumb-ass.

Lunch is provided afterwards and the team is eager to take group photos.  If you are ever in Vegas and looking for something different to do, give them a a call and go in the morning!",5
4954984,"Just ordered my pizza and I have a good feeling about it. I work in the area and craved a slice of pizza so I took to the world of Yelp for recommendations. They have good reviews on Yelp and they were just a couple miles up the road, so I gave it a shot. The lady at the counter has a New York or Jersey accent (I can't tell them apart, sorry). I told her it was my first time and she helped me make a decision (bc I'm indecisive) and I made my own creation. She saw that I had a Yelp coupon for checking in. She happily took it and I just paid the difference bc I the coupon was for a free slice of cheese pizza with a drink. She didn't have to accept my coupon but she did any way. While writing this my pizza came out and my order was called. I went up there and boy does it look good. I'm looking at it as I type. I'm taking my first bite!... I just ate half of it before continuing my review. It is delicious! I'm so lucky I found a pizza joint close to work and home. The prices are low especially for the quality. Definitely coming here again! Sorry, pizza trumps Yelp today and I'm hangry!",5
1764199,"Bad 1st experience! Charged for something I didn't ask for or receive. The young lady at the drive thru was rude and incompetent, it's just coffee and a danish. How do you screw that up? Will never visit this store again especially if she's on the window. Bottom line, put friendly people on the window who can place an order and swipe a card.",1
5412010,"A must while visiting Las Vegas at the Venetian Resort & Casino.

If you're at all like me when I visit Vegas it's 24-7 non-stop ... so to take a break at the Breathe Oxygen Bar and ""detox"" it's mandatory!!  While inhaling pure oxygen we got massages and pulse stimulation as well as aromatherapy!

Situated right on the canal you can see the gondolas float by and hear some magical signing - this also creates a nice tranquil feeling.

This is a place I always visit when in town.",5
1519074,"This old house-turned pizzeria is cute. Though kind of cluttered. The service was very good, though not worth  the mandatory 24% gratuity (we had 10 in our party hence the mandatory gratuity) The pizza was good. Good not great... Not average, just not 'wow'. There are so many boutique pizza joints in the valley, and they are all good, I just didn't find anything unique about Cibo's besides the complex Italian naming scheme. We had a big group and they packed us in to a back room with another large group... That's fine, but the acoustics are horrible and it was very hard to hear or carry on a conversation. Regardless, I'll go back, even if only for a glass of wine and dessert but wait until the fall to enjoy their big outdoor dining area.",3
5722367,"Meh!!! Out running errands so we spotted the Popeye's. Food that you haven't had in a LONG time is usually good...or not. This fine establishment is connected to Fills mini-market. We ordered a 8-pc meal. Because they didn't have enough ""spicy"" chicken, they asked if we wanted 6 pieces now and wait for another batch that would be ready in 5 minutes. We thought...5 minutes...let's get all 8 pieces fresh. WRONG!!! So many appendages in my chicken. Ew...The batter was crumbly, in a bad way and the chicken was super dry, like beef jerky. The coleslaw didn't have that freshly made look. Mushy. Didn't even wanna eat the biscuit. Blech. Feeling gross now!!",2
3265512,"Watch out for these guys. Don't give them any of your info unless your serious about an item in store. They will run the hell out of your credit which if you know about credit it will drop your score of course. I already had an account an they still ran my credit over 3 times seriously while I already had an established account that I was paying on without my consent to do so. I complained, an of course nothing was done. Yet my credit has inquiry's on it though. Be careful an if possible avoid this one at Az Mills as everyone isn't the same so you might get better treatment at another store just not this one I'll say. Take care.",1
2605868,I really like this place! I like how you can try as many flavors as you want until you get to that one you want to commit to. I had passion fruit which was delish! If you can get over the sketchy location then you won't be disappointed!,5
5150367,"I have been on a search for good soft serve for a couple months when I found out about Tom's Dairy Freeze. I was skeptical because I thought ""just how good can soft serve get?"". I was wrong.

The very BIG ""medium"" cone dipped in chocolate that I got almost brought tears to my eyes. Not simply because it was creamy, delicious, melty and amazing but because it reminded me of my childhood. When I was a kid (I grew up in Russia), we went to Moscow and got a chocolate covered ice cream bar. It was almost identical taste to the soft serve cone dipped in chocolate that I got at Tom's. 

Beware: the ice cream (perhaps because it's real cream and not modified milk ingredient slush) melts REALLY fast. The chocolate was almost falling off my cone. It was so worth it though. I got twist flavour but next time I am going for vanilla alone for the purity of it.

Also, their sizes are generous. A medium really is a large. I've seen people with a large and it is HUGE. I recommend starting off with a small unless you're really sure you want a LOT of soft serve.

I would highly recommend Tom's to anyone who's looking for either good soft serve or good old fashioned ice cream in general.",5
326444,I read the reviews and decided we should try Flipside!  The reviews mentioned that they use local produce and farms.  Reason 1!   Reviews also stated how clean and delicious everything is.  I made reservations because I wanted to make sure we did not have a wait .   I had to call back because one person in our party was stuck in traffic.  Courtney was understanding and moved our reservations.   We were greeted by Courtney and gave us a choice of two tables.  It was a great experience from the questions we had about menu to the dessert!   I highly recommend this place.   Thank for a wonderful meal and giving us time to visit with our VIP.,5
4786078,"Came to Phoenix for a couple days and I had bookmark this breakfast place. 

This place is really busy. Yet my boyfriend and I 
had a great experience. Our server was amazing. I forgot her name but I know she's German and Filipino, she was very attentive.

I had ordered the chicken fried steak with a gluten free banana muffin and I believe my boyfriend ordered the 5 egg white omelette with a gluten free banana pecan pancake. Everything was really good.",5
5339325,"I'm used to going to brunch after 1pm so I guess you really couldn't call it brunch.  I had just gotten out of church when I received a phone call from my best friend W.  He asked if I want to go eat at Windsor.  I had never been to Windsor and, of course I complained because I didn't think they were going to give me enough food to fill me up.  Remember, I am a fatboy trapped in a skinny mans body.  He promised I wouldn't be disappointed.

As we pulled up to Windsor, my first impression as we walked in the door was WOW.  I feel in love with the way the place was set up.  As we sat down, a friendly waitress came and took our drink and appetizer order.  She brought the drinks but she never brought the appetizers.  Then she came back and took our order.  She brought out our food but never brought out the appetizers.  We asked about the appetizers and she said she was so sorry and brought over her manager.  The manager told us she was sorry for the mishap and would comp our bill $17.00 since they forgot to put in our appetizers.  I couldn't believe this place.  It was like heaven.

Needless to say, my meal left me full and satisfied.  The service was great.  The atmosphere was wonderful, and the staff was amazing.  I think I have found my new spot every Sunday afternoon after church.",5
4961282,"Well...a splurge is a splurge right? I hadn't been to a chicken and waffles joint since I lived in LA years ago so I knew the kids would be all for BREAKFAST FOR DINNER (aka waffles and chicken). The place is bright and hella noisy music wise but service was friendly and attentive. The fried chicken was absolutely top notch and I love, love, love, rooster hot sauce. The waffles weren't as great as the chicken but my kids still devoured them. The collards were surprisingly bland but fries were good and again the chicken is fabulous!",4
61732,"Husband and I were at the Antique Mall on New Year's day.  OMG talk about busy - WOW.  The sales were amazing with bargains galore.  There was only one drawback and that was the check-out line.  It was half way around the store, but the sales prices were well worth the wait.  The other antique stores better smarten up and open on NEW YEAR'S DAY.  They are loosing out on HUGE amounts of money by not opening.",5
2170754,"Excited by the preceding reviews, had a lovely reunion dinner with family and a particularly splendid meal. The service was quite attentive and sensitive to allergies, and that included everyone who served us. 

Every tapas-style dish was well-seasoned and complex and so palate-pleasing!  Too bad we're just visiting Toronto. Would come back again and again!",5
874208,"Bought their most expensive package - ""full royalty detailing"". Utter disappointment and a complete waste of money.

- Carpet was not shampooed -  coffee spill (primary reason for visit) was barely touched
- Windshield/windows were not even wiped at all from the inside
- They did not clean under the cupholder rubber insert, tons of visible dirt was left behind. 
- They did not properly clean trunk upholstery, lots of dirt/dust left behind.
- The leather seats were not cleaned -at all-

Basically you're paying 200 bucks for some kid to do a bad job vacuuming your car and wiping the dash.  Find a better detailer - AVOID THIS PLACE!",1
134061,"Went here with a friend, shared the spring rolls and the pork dumplings as appetizers then got one of their ""street noodles"" for my main dish. The food was definitely good, but I have to say it wasn't as flavorful as I expected. I enjoyed it and would recommend it if you wanted Thai in Lawrenceville, but I wouldn't go out of my way to eat here again for the food itself. 

I would definitely recommend this on a nice day as a beautiful place to eat outside! The garden atmosphere was wonderful, and I had great service.",3
5040879,"The movie selection is pretty good and the service is always prompt and friendly. In fact, had I not needed to visit the bathroom with my young daughter today I would have gladly given this a 4 or 5 star rating. But the bathroom was absolutely disgusting. Just completely gross and filthy.",3
5089677,"Extremely over priced.  Asked for military crease on shirts.  Low and behold, no crease.",1
5894941,"The Chop Shop is a fun little restaurant that has a way cool atmosphere and attracts cool looking people. They have unique interior design and even better food. i just got one of the 'cheaper' sandwiches and it was so good. i didnt want the sandwich to end. they also had other way good condiments available so that i could add some spice to my sandwich.

I'd recommend it and even take a girl on a date there.",4
1095404,"Convenient location, great customer service, and delicious food. Only bad thing I have to say about this place is it's very pricey (I got the Bison Bowl- which was amazing- but was about $16) You can definitely tell they use quality ingredients and it's super convenient after the gym when you don't have time to prepare your meals, but a little hard for me to spend almost $20 on a bowl for lunch.",4
2150765,"Decent food and fast delivery paired with excellent customer service (one of my dishes had an issue and they replaced it was a very tasty, higher priced item of my choice and added a drink on top of it!)
Absolutely to recommend.",5
4511101,This is such a cool place to bring the kids downtown.  I used to always wonder what the inside of this old building looked like and now that they have made this into a museum for kids I have been able to check out the whole inside.  They have lots of stuff for the kids inside and out.  They have special hours when the kids are out of school so check online for that before you head out.,5
42649,"Food was okay, servers were nice but need more experience or should pay more attention to diners needs. There is one white male (owner?) helping out  every time i go to this place this person always wear a printed T-shirt which  doesn't  create a warm welcoming gesture to the diners. This guy should change his attire or just stay inside the kitchen. Sometime you get pandesal if they remember. One time i ordered a bulalo the server said it doesn't come with rice because it is categorized as soup. I know the place is new and will need a lot of changes and adjustments but right now i rate this place one star.",1
1999305,"For a chain restaurant...I was impressed. We stopped in early in a Saturday and were told it would be a 50min wait but bar seating was first come first served. We decided to look around and found a table in the back corner of the bar. It took a little bit but our server finally came over and took our drink order. He was very knowledgeable with the wine list and my wife went with one of his suggestions for a Pinot Grigio and she enjoyed it. I couldn't decide on an entree so I went with some small plates. I started with the lobster bisque which was flavorful but skimpy on the lobster. Next I had a Caesar salad and an order of calamari. The salad was rather large and a good value. The calamari was excellent except for the aioli. I tried a little and decided to stick with the marinara that accompanied it. I'm a calamari traditionalist...what can I say? My wife had the pasta Brio which consisted of rigatoni, grilled chicken, and mushrooms in a roasted red pepper sauce. She liked it and so did I. I'm not a huge fan of chains but Brio does it right. We will definitely be back the next time we decide to visit Crocker Park.",4
3923590,"Great big bar. They have a bull on certain nights, which can provide some entertainment. The drinks are reasonably priced and the waitresses/bartenders are hot! Yay college town!",3
5751099,"Another thrift store where once I enter there is no coming out empty handed. Love how well organized, open and clean this one is. Dressing rooms are awesome. Some prices are a bit too high yet just as many and maybe more are surprisingly low.  I'm definitely a fan and it's great that they offer daily half price promotions and that the money the store earns goes toward a good cause.  3$ off coupon if you donate (anything) and a stamp card where once you fill it up you get 30% off your entire purchase. Recommended!",5
3249346,Omg the food was awesome. I know good Mexican food and this was it!! I also got the seal of approval from my sis who only orders rice and beans and ventured out and ordered a taco and tostada which she said was awesome. Please go see Amanda our server !,5
4817323,"What drew me into this store was the absolutely gorgeous display of lamps and hanging light pendants made of glass set in mosaic design.

The owner is an importer of home decor goods primarily from Turkey, Iran and India.  
In addition to the lamps there are brightly colored hand-painted ceramics like bowls and platters which we were were told are done in traditional Ottoman Empire designs.

There are inlaid and carved pieces of furniture and some beautiful carpets.  
If I were to build a Riyad-style Moroccan house, this is where I'd come to accessorize it.

Toward the front of the store I spotted several jewelry cases.  What caught my attention in particular were the pieces of evil eye jewelry.  There were pendants, bracelets, earrings, sun-catchers; evil eye repellers all.

There are many cultures that believe in the necessity of warding off the evil eye.  I come from two of those cultures and I grew up on stories about the ""malocchio"". It wasn't unusual to see someone wearing a gold horn (cornuto) necklace. 

In this shop I purchased the Turkish version of an Evil Eye pendant which is in the shape of an eye.  It's made in Swarovski crystal mosaic.  What I'd tell you if you'd ask, is that I love the way it looks.    But what I'd also like to believe is that it might be giving me a little extra protection to get through the day.

Great shop, with lots to see both for decorating yourself or your house.",4
4937171,"We came here for lunch on a weekday around 11:45 and almost all the tables were occupied. I ordered the kale and arugula salad with shrimp, and it was pretty good considering I never usually order salads at restaurants. I do wish the dressing came on the side; the leaves were almost too drenched. However the shrimp was cooked perfectly and the parsnips and radishes added a nice bitterness and crunch. The cornbread that came with it was amazing as well. I tried a few bites of the shrimp and grits though and instantly wished I had ordered that instead - SO GOOD and had more than just shrimp and grits. So if I ever come back I know what I'm getting. 

The staff were all nice and so is the atmosphere and decor. A bit pricey, but within reason and well worth it.",4
2617328,"The service was fantastic at this place along with the food.  Very friendly atmosphere and very quick about our orders.  However, they had specials that I wish the waiter would have told me the prices about.  For two of us, my bill came out to be a hundred dollars.",3
3767828,"This is a very clean facility, the staff Rene fully explained everything. They want to make sure that you are comfortable with the place that you are storing your belongings. I would definitely recommend using Public Storage.",5
5460523,"Dont' go here.It was full of shady looking people and I didn't see one security officer. 

I left as quickly as I arrived. Too bad, it's a nice building and could be so much more.",1
5021132,"If you are truly into vinyl, you MUST visit this store, BOTH locations! I have found some serious treasures here! We love the Record City Crew!! Joey, Stacy, Brandi and Killian are some of the nicest people you will ever meet and they take great care of their repeat customers! 

My Family and I have been shopping here for many years and I can honestly say they have THE BEST PRICES IN TOWN! Their classic rock and metal inventory is outstanding and the majority of SEALED albums in my collection have come from Record City! Price, selection and QUALITY keeps me coming back to RC on a regular basis! I HIGHLY RECOMMEND RECORD CITY!!",5
4641370,"Great spot and great staff 
I had a 3 taco plate with beans and rice 2 chicken tacos and 1 fish taco.
My daughter also had the 3 taco plate with beans and rice she had hers with shrimp tacos...everything was delicious..While we were eating i checked us in on yelp and they gace ilus 2 fried oreos which my daughter ate both and loved..
Ohhh yeah i almost forgot...they were having a taco eating contest when we were there too..its like a $12 buy in and lasts 10 minutes..so we had a lil entertainment while we ate.
They also run happy hr from 4-7 pm Monday-Friday with $1.25 tacos..cant beat that at all..
I'll definitely be back..",5
